安装	按装
安详	安祥
艾滋病	爱滋病
黯然	暗然
按部就班	按步就班
三部曲	三步曲
抱怨	报怨
报道	报导
爆发	暴发
辨	辩
分辩率	分辨率
辨护律师	辩护律师
辨明	辩明
辨证	辩证
辨明是非	辩明事理
表明	标明
表率	表帅
统率	统帅
部署	布署
备加	倍加
备受	倍受
倍	备
倍增	备增
倍感	备感
备尝	倍尝
备至	倍至
一倍	一半	五成
薄	簿
拨	拔
记录薄	记录簿
拔款	拨款
拔通	拨通
板	版
雕版	雕板
经济板块	经济版块
完璧归赵	完壁归赵
珠联璧合	珠联壁合
淡泊名利	淡薄名利
博弈	博斗
博	搏
长年累月	常年累月
彩	采
精彩	精采
兴高采烈	兴高彩烈
剪彩	剪采
彩排	采排
神采	神彩
窜改	篡改
人才	人材
成规	陈规
不耻	不齿
侦察	侦查
的	地	得
订	定
协订	协定
签定	签订
制订	制定
度	渡
渡江	度江
渡河	度河
度汛	渡汛
欢度	欢度
虚度	虚渡
引渡	引度
渡过	度过
过渡	过度
迭	叠
叠床架屋	迭床架屋
峰峦叠翠	峰峦迭翠
高潮迭起	高潮叠起
挡	档
偶尔	偶而
翻	番
蜂拥	蜂涌
分	份
份内事	分内事
犯罪份子	犯罪分子
身分	身份
本分	本份
缘分	缘份
成分	成份
县份	县分
省份	省分
年份	年分
月份	月分
分量	份量
肤浅	浮浅
扶养	抚养
复	覆
覆盖	复盖
覆灭	复灭
副	幅
一副	一幅
伏法	服法
伏罪	服罪
赋予	付与
竿	杆	秆
钓竿	钓秆
秸秆	秸杆
麦秆	麦杆
冈	岗
山冈	山岗
黄冈	黄岗
井冈山	井岗山
黄土岗	黄土冈
功夫	工夫
工厂	学校
这个	那所
贯穿	贯串
合龙	合拢
龙口	拢口
宏大	洪大
候	侯
等侯	等候
诸侯	封侯
侯选人	候选人
那时侯	那时候
划	画
指天画地	指天划地
指手画脚	指手划脚
规划	计划
会合	汇合
化妆	化装
荟萃	荟翠
轰然	哄然
震撼	震憾
竟然	竞然
竣工	峻工
一年之计在于春	一年之季在于春
简朴	俭朴
接合	结合
截止	截至
截止今天	截至今天
界限	界线
几率	概率	机率
决不	绝不
决不让步	绝不允许
即	既	就
靠近	即使
一触即跳	一触既跳
既然	即然
既往不咎	即往不咎
记	纪
纪实	记实
纪行	记行
忌妒	嫉妒
嫉贤妒能	忌贤妒能
家具	傢俱
柬	简
精简	精减
娇纵	骄纵
巳	已	己
巳成为	已成为
事不关已	事不关己
键	健
关健	关键
强键	强健
健康	键康
健美	键美
界	届	级
本届	本界
上届	上界
浆	桨
螺旋桨	螺旋浆
厉害	利害
厉	励	砺
俩	两	个
连	联
瞭望	了望
了了	寥寥	廖廖
廖廖数件	寥寥数件
了了无几	寥寥无几
另	零
零件	另售
零散	另散
零碎	另碎
啰	罗
练	炼
简练	简炼
洗练	洗炼
修炼	修练
练字	炼字
精练	精炼
锻炼	锻练
澜	斓
波澜	波斓
斑斓	斑澜
美仑美奂	美伦美奂	美轮美奂
轮	奂
不利	不力
出师不利	出师不力
领导不力	领导不利
权利	权力
机关	部门
临	邻
相临	相邻
邻街	临街
身临其境	身邻其境
临河	邻河
邻居	临居
谜	迷
谜团	迷团
一个谜	一个迷
哈密瓜	哈蜜瓜
明日黄花	昨日黄花
每下愈况	每况愈下
明	名
明信片	名信片
名片	明片
明星	名星
哪里	那里
那	哪
蓬	篷
帐篷	顶篷
篮子	蓝子
青	轻
年轻	年青
起用	启用
起航	启航
气	汽
汽化	气化
蒸汽	蒸气
暖气	汽暖
汽水	汽酒
水蒸气	液化气
情节	情结
熔	融	溶
尽如人意	不尽人意	不如人意
如	尽
困扰	困绕
启事	启示
国是	国事
共商国是	共商国事
国事访问	国是访问
关心国事	关心国是
擅长	善长
生	身
终生	终身
亲生	亲身
出生	出身
事迹	事绩
首当其冲	首要位置
树立	竖立
诵读	颂读
凇	淞
雾凇	雨凇
无所适从	无所是从
拴	栓
枪栓	拴马
授权	受权
授权发布	受权发布
桶	吨
通信	通讯
通讯社	通讯网
通讯员	通信员
蒜薹	菜薹
蒜苔	菜苔
苔	薹
骛	务	鹜
马	鸟
好高骛远	好高务远
趋之若鹜	趋之若骛
惟妙惟肖	唯妙唯肖	维妙维肖
维	惟	唯
诬蔑	污蔑
诬	污
像	象	相
画像	画相
录像	录相
音像	音相
声像	声相
偶像	偶相
人像	人相
神像	神相
塑像	塑相
图像	图相
肖像	肖相
绣像	绣相
遗像	遗相
影像	影相
摄像	摄相
表象	表相
病象	病相
形象	形相
脉象	脉相
气象	气相
景象	景相
天象	天相
像片	相片
假象	假相
真相	真象
显像管	显相管
观象仪	观相仪
照相机	照像机
摄像机	摄象机
录像机	录象机
翔实	详实
暄	喧
寒暄	寒喧
笑眯眯	笑咪咪
泄	泻
泄漏	泻漏
泄洪	泻洪
泄密	泻密
泄愤	泻愤
倾泻	倾泄
上吐下泻	上吐下泄
一泻千里	一泄千里
萧瑟	肖瑟
萧条	肖条
斜	邪
学历	学力
形	型
蟹型	蟹形
形影不离	型影不离
喜形于色	喜型于色
原形毕露	原型毕露
字形	字型
地形	地型
图形	图型
型号	形号
型号	形号
型号	形号
原形	原型
醒悟	省悟
霄	宵
夜宵	夜霄
元宵	元霄
授予	授于
萤	荧
荧屏	萤屏
荧光	萤光
树阴	树荫
林阴	林荫	柳荫
阴	荫
一起	一齐	一同
哺育	抚育
反应	反映
反映灵敏	反应灵敏
帐	账	债
账目	账号
州	洲
绿洲	绿州
沙洲	沙州
亚洲	亚州
燥	躁
脾气躁	脾气燥
性子躁	性子燥
暴躁	暴燥
装潢	装璜
潢	璜
住	驻
作	做
作为	做为
做贼	作贼
作贡献	做贡献
增值	增殖
之于	之乎
公之于众	公诸于众
诉诸法律	诉之法律
坐落	座落
座垫	坐垫
座像	坐像
坐	座
赃	脏
销脏	销赃
赃款	脏款
人脏俱获	人赃俱获
脏了	赃了
只	支	枝
一只	一支	一枝
两只	两支	两枝
三只	三支	三枝
五只	五支	五枝
六只	六支	六枝
七只	七支	七枝
八只	八支	八枝
九只	九支	九枝
十只	十支	十枝
坐镇	坐阵
颍河	颖河
颍上县	颖上县
菏泽	荷泽
亳州	毫州
甪直	角直
闽侯	闽候
高句丽	高勾丽
新潟	新泻
潟	细	泻
苏州	株洲	株州
自治州	满洲里	满州里
州	洲
雷锋	雷峰
岐	歧
王岐山	张鸣岐
茅盾	矛盾
非典	萨斯
APEC	OPEC
BP机	PP机	BB机
CEO	CFO
DV	DC
GDP	GNP
WTO	WHO
